Event,Px,Py,Pz,Tot,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons
363,-0.899101,0.205206,0.386662,6456.01,5962.85,0,359.817,0.0,106.179,27.1614,0.0,893.826,0.0,11953
364,0.948241,-0.311482,-0.0617883,11512.3,10279.5,0,308.841,0.0,319.843,604.081,0.0,1610.44,0.0,16459
365,-0.0762843,-0.751498,-0.655311,4432.41,3970.34,0,462.075,0.0,0.0,0.0,0.0,606.727,0.0,9509
366,-0.271931,-0.935822,-0.224256,8454.26,8047.17,0,103.566,0.0,104.73,198.793,0.0,1181.91,0.0,12370
367,-0.379249,-0.0845621,0.921423,3182.58,2807.77,0,374.814,0.0,0.0,0.0,0.0,426.161,0.0,9412
368,0.843695,0.405706,-0.351541,6119.09,5812.67,0,306.414,0.0,0.0,0.0,0.0,847.171,0.0,10854
369,0.677157,-0.571302,0.463759,5577.39,5353.09,0,85.6245,0.0,106.244,32.4328,0.0,769.577,0.0,10514
370,0.938684,-0.334479,0.0836483,9431.97,8897.19,0,123.68,0.0,89.6379,321.461,0.0,1321.14,0.0,13153
371,-0.239514,-0.810611,-0.534362,5570.97,5097.56,0,153.556,0.0,78.8373,241.011,0.0,766.484,0.0,11137
372,-0.761557,0.386413,0.520304,5899.07,5502.96,0,396.103,0.0,0.0,0.0,0.0,813.135,0.0,11083
373,0.0555962,0.775369,0.629057,5199.06,4463.89,0,419.32,0.0,106.691,209.163,0.0,712.849,0.0,10588
374,-0.0488957,-0.106687,0.99309,3061.56,2944.91,0,116.651,0.0,0.0,0.0,0.0,389.021,0.0,14488
375,-0.645179,-0.397825,-0.652287,4260.65,4196.6,0,64.054,0.0,0.0,0.0,0.0,584.477,0.0,8624
376,-0.800477,-0.377694,0.465385,5832.98,5281.91,0,347.981,0.0,106.457,96.6358,0.0,805.175,0.0,10600
377,0.570967,-0.434269,0.696711,4203.31,4053.85,0,149.456,0.0,0.0,0.0,0.0,575.5,0.0,8940
378,-0.0120788,0.232417,-0.972541,2959.27,2804.5,0,154.769,0.0,0.0,0.0,0.0,385.556,0.0,11386
379,-0.627112,0.537885,0.563391,5194.38,4989.24,0,205.132,0.0,0.0,0.0,0.0,713.908,0.0,10202
380,-0.20426,0.919333,-0.33631,6117.74,6025.31,0,92.4229,0.0,0.0,0.0,0.0,845.313,0.0,11098
381,0.497556,0.249026,-0.830918,3248.61,2977.44,0,271.169,0.0,0.0,0.0,0.0,438.598,0.0,8251
382,0.412612,0.650233,-0.637925,5022.27,4939.18,0,83.0864,0.0,0.0,0.0,0.0,687.462,0.0,10311
383,0.672147,0.149488,0.72517,3796.18,3498.97,0,297.211,0.0,0.0,0.0,0.0,518.371,0.0,8481
384,0.676266,-0.717461,0.167077,8936.0,8763.88,0,172.117,0.0,0.0,0.0,0.0,1255.45,0.0,11867
385,-0.309578,-0.79319,-0.524415,5505.83,5416.92,0,88.9121,0.0,0.0,0.0,0.0,756.91,0.0,10984
386,-0.179073,-0.789813,0.586625,5854.47,5182.38,0,361.747,0.0,106.685,203.661,0.0,804.849,0.0,11596
387,-0.805011,-0.550748,0.220531,8250.91,7757.63,0,119.888,0.0,116.218,257.176,0.0,1152.57,0.0,12120
388,-0.578176,0.579767,-0.574093,5407.43,4623.47,0,386.774,0.0,105.822,291.372,0.0,742.056,0.0,11127
389,-0.789874,0.0393124,0.612008,5647.95,5215.03,0,121.535,0.0,112.369,140.658,58.3648,772.185,0.0,12130
390,-0.895332,0.0829373,0.437609,5790.92,5602.25,0,188.674,0.0,0.0,0.0,0.0,799.258,0.0,10594
391,-0.789032,-0.374425,-0.487067,5863.94,5507.02,0,356.921,0.0,0.0,0.0,0.0,808.55,0.0,10872
392,0.141747,-0.788326,-0.598707,5079.27,5056.48,0,22.7965,0.0,0.0,0.0,0.0,697.685,0.0,10098
393,0.345126,-0.923839,-0.165559,11412.6,9860.42,0,519.216,0.0,212.991,534.251,285.702,1597.51,0.0,15845
394,-0.64241,-0.117544,0.757293,3652.94,3472.23,0,180.712,0.0,0.0,0.0,0.0,497.871,0.0,8191
395,0.148096,0.802337,0.578206,5275.52,4464.84,0,111.25,0.0,106.377,364.733,228.317,724.553,0.0,10229
396,0.838064,0.119179,0.532395,4751.86,4603.82,0,148.037,0.0,0.0,0.0,0.0,654.61,0.0,9211
397,0.855179,-0.452422,0.252948,7163.02,6834.47,0,328.547,0.0,0.0,0.0,0.0,998.333,0.0,10838
398,-0.748121,0.662692,0.0339795,14901.0,14222.9,0,335.169,0.0,75.3528,267.64,0.0,2088.33,0.0,19375
399,-0.230124,0.121805,-0.965508,3339.72,2691.92,0,256.943,0.0,95.2026,295.655,0.0,434.479,0.0,13105
400,0.226693,-0.198389,0.953547,2912.86,2697.63,0,215.227,0.0,0.0,0.0,0.0,378.485,0.0,11454
401,0.255154,0.647352,0.718214,4228.65,3728.55,0,326.573,0.0,106.137,67.3946,0.0,577.411,0.0,9374
402,-0.908155,-0.0431174,0.416407,6297.58,5876.03,0,421.548,0.0,0.0,0.0,0.0,870.558,0.0,11190
403,0.0622333,-0.944313,0.323109,6414.76,6233.97,0,180.788,0.0,0.0,0.0,0.0,888.53,0.0,11311
404,0.0897064,-0.361199,-0.928164,3479.7,3042.82,0,216.335,35.9494,109.691,74.6119,0.0,466.0,0.288,9973
405,0.180971,0.502071,-0.84568,3230.2,3013.69,0,216.514,0.0,0.0,0.0,0.0,437.621,0.0,8104
406,0.373771,-0.64222,-0.669215,4191.6,3906.07,0,285.535,0.0,0.0,0.0,0.0,574.258,0.0,8917
407,0.925668,0.166719,-0.339623,6457.31,6197.91,0,259.407,0.0,0.0,0.0,0.0,895.743,0.0,11189
408,-0.932466,-0.359204,-0.038473,8563.86,8265.09,0,298.766,0.0,0.0,0.0,0.0,1202.57,0.0,11640
409,-0.153993,-0.100133,-0.982985,3175.98,2978.75,0,197.231,0.0,0.0,0.0,0.0,411.806,0.0,12857
410,-0.0902099,0.763097,-0.639957,4627.36,4573.75,0,53.6093,0.0,0.0,0.0,0.0,632.868,0.0,9914
411,0.144604,0.678945,-0.719808,4022.39,3662.21,0,360.175,0.0,0.0,0.0,0.0,549.96,0.0,8757
412,0.909247,-0.371509,-0.187751,10076.3,9384.77,0,250.074,0.0,106.296,335.138,0.0,1411.6,0.0,13889
413,0.169187,-0.753416,0.635405,5414.56,5166.46,0,248.097,0.0,0.0,0.0,0.0,742.159,0.0,11035
414,-0.0227113,-0.993034,-0.115619,10263.9,9234.74,0,262.505,0.0,207.158,559.488,0.0,1438.41,0.0,14032
415,0.554152,0.127303,-0.822624,3113.65,2894.46,0,219.196,0.0,0.0,0.0,0.0,422.839,0.0,7688
416,-0.425619,0.114018,-0.89769,4550.89,3608.96,0,311.249,22.7303,159.341,448.609,0.0,614.772,0.0,12234
417,-0.906567,-0.365377,-0.211272,7296.13,7037.36,0,258.774,0.0,0.0,0.0,0.0,1019.29,0.0,10806
418,0.870386,0.327575,-0.367591,5966.18,5665.31,0,300.872,0.0,0.0,0.0,0.0,821.682,0.0,11437
419,-0.982446,0.0772238,0.169813,8284.95,8153.41,0,131.54,0.0,0.0,0.0,0.0,1161.12,0.0,11822
420,-0.596431,0.324045,-0.734346,4000.41,3677.26,0,155.736,0.0,49.4966,117.924,0.0,545.426,0.0,9123
421,0.070902,-0.926121,-0.370502,7042.79,6041.55,0,180.058,0.0,85.798,467.419,267.96,971.946,0.0,13054
422,-0.9467,-0.31151,0.0819846,10304.6,9584.37,0,157.57,0.0,180.914,381.744,0.0,1442.75,0.0,14210
423,0.473592,0.0424569,-0.87972,3414.59,3324.92,0,89.6727,0.0,0.0,0.0,0.0,461.46,0.0,8884
424,-0.167614,-0.982398,-0.0824575,9274.78,9132.51,0,142.273,0.0,0.0,0.0,0.0,1297.58,0.0,13089
425,0.685567,-0.167085,0.708577,4383.67,4267.34,0,116.331,0.0,0.0,0.0,0.0,600.572,0.0,8897
426,-0.911868,-0.00620626,0.410438,5812.78,5485.78,0,327.002,0.0,0.0,0.0,0.0,803.672,0.0,10414
427,0.313454,-0.508496,-0.801984,3312.35,3279.51,0,32.8444,0.0,0.0,0.0,0.0,450.017,0.0,7906
428,0.0208837,-0.219843,-0.975312,2959.83,2801.23,0,158.599,0.0,0.0,0.0,0.0,383.041,0.0,11932
429,0.429377,0.902903,0.0200299,11369.9,10009.0,0,189.566,127.065,322.711,314.549,407.045,1593.66,0.01659,15408
430,0.459509,-0.883996,0.0860349,9856.12,9360.79,0,179.613,0.0,106.595,209.126,0.0,1383.88,0.0,13104
431,0.228665,-0.891769,-0.390462,6367.91,5841.98,0,128.835,0.0,106.686,290.41,0.0,882.309,0.0,11479
432,-0.444017,-0.42311,0.789827,3613.62,3180.65,0,432.976,0.0,0.0,0.0,0.0,491.452,0.0,8538
433,0.931452,0.032127,-0.362442,5798.36,5780.31,0,18.051,0.0,0.0,0.0,0.0,801.882,0.0,10513
434,0.20094,-0.568481,0.79778,4029.03,4024.25,0,4.77541,0.0,0.0,0.0,0.0,548.703,0.0,9329
435,-0.211036,-0.23335,-0.949216,3159.16,2861.43,0,297.723,0.0,0.0,0.0,0.0,410.761,0.0,12574
436,0.223267,-0.819812,0.527314,5187.0,5160.89,0,26.1125,0.0,0.0,0.0,0.0,713.828,0.0,10119
437,0.394806,0.592682,-0.702037,4825.89,4630.9,0,194.986,0.0,0.0,0.0,0.0,660.654,0.0,9945
438,-0.609178,0.0265263,-0.792589,3786.39,3757.56,0,28.8315,0.0,0.0,0.0,0.0,514.979,0.0,8879
439,-0.531508,-0.20194,0.82263,3411.16,3121.1,0,290.061,0.0,0.0,0.0,0.0,463.591,0.0,8038
440,-0.619356,0.691175,-0.37239,5966.47,5860.63,0,105.842,0.0,0.0,0.0,0.0,826.899,0.0,10469
441,0.264926,-0.0346626,0.963646,2967.85,2811.58,0,156.27,0.0,0.0,0.0,0.0,389.047,0.0,10809
442,-0.379325,-0.513852,0.76946,4117.8,3355.88,0,250.067,0.0,52.1856,459.666,0.0,560.943,0.0,9278
443,0.601234,-0.476537,-0.641428,5133.0,4412.89,0,186.645,0.0,106.163,282.951,144.345,703.528,0.0,10539
444,0.694937,-0.464009,-0.549326,6420.91,5305.73,0,212.423,0.0,172.622,730.132,0.0,882.145,0.0,12425
445,-0.115764,-0.505764,0.854869,3291.8,3057.38,0,234.418,0.0,0.0,0.0,0.0,444.179,0.0,8555
446,-0.633239,-0.701432,0.327112,6438.76,6195.07,0,243.692,0.0,0.0,0.0,0.0,891.511,0.0,11329
447,0.510442,-0.856248,0.0792952,12533.0,12142.1,0,186.063,0.0,99.766,105.035,0.0,1751.82,0.0,17971
448,0.920631,0.38355,0.072996,9214.43,8898.01,0,113.469,0.0,76.543,126.401,0.0,1294.56,0.0,12427
449,-0.695746,-0.0496161,-0.716572,3523.21,3198.95,0,324.263,0.0,0.0,0.0,0.0,481.439,0.0,7892
450,-0.210312,-0.319494,-0.923955,3402.65,3007.46,0,395.188,0.0,0.0,0.0,0.0,454.266,0.0,10084
451,0.746992,-0.596176,0.29424,7380.97,7283.02,0,97.9524,0.0,0.0,0.0,0.0,1024.51,0.0,12316
452,0.795026,0.602479,-0.0703781,11730.4,11378.8,0,351.523,0.0,0.0,0.0,0.0,1646.04,0.0,15354
453,0.00908677,0.0581276,0.998268,3053.42,2852.64,0,200.775,0.0,0.0,0.0,0.0,395.359,0.0,12472
454,-0.0403804,0.89262,0.448998,5943.29,5263.96,0,408.953,0.0,112.636,152.144,5.59439,821.154,0.0,11063
455,-0.777064,-0.542937,-0.318419,8061.05,7042.78,0,98.0063,0.0,306.299,613.971,0.0,1120.79,0.0,12903
456,0.251773,-0.53078,-0.809248,4838.41,4092.98,0,358.719,0.0,169.527,217.184,0.0,657.807,0.0,11593
457,0.369671,0.650059,0.663903,4076.54,3719.5,0,357.035,0.0,0.0,0.0,0.0,559.556,0.0,8269
458,-0.353886,0.771734,-0.528386,5185.95,4970.63,0,215.326,0.0,0.0,0.0,0.0,713.792,0.0,10157
459,-0.762665,-0.646793,0.000834319,12761.2,11983.6,0,472.537,0.0,94.9913,210.081,0.0,1792.31,0.0,16446
460,0.37105,-0.443669,0.815769,3484.31,3163.0,0,321.312,0.0,0.0,0.0,0.0,472.116,0.0,8545
461,0.834657,-0.403799,0.374558,6659.85,6269.36,0,390.493,0.0,0.0,0.0,0.0,921.034,0.0,11649
462,-0.434017,-0.318596,-0.84269,4098.64,3440.37,0,209.057,0.0,106.683,342.53,0.0,554.016,0.0,10469
463,-0.253571,-0.0733282,0.964533,2815.7,2631.21,0,184.487,0.0,0.0,0.0,0.0,363.901,0.0,11763
464,-0.488902,-0.0140293,0.872226,3368.09,3295.02,0,68.9956,0.0,0.0,0.0,4.084,454.739,0.0,8820
465,0.808173,-0.58855,-0.0215825,12528.0,11880.0,0,391.634,0.0,101.65,154.717,0.0,1757.19,0.0,16226
466,0.255734,-0.824828,-0.504241,5618.29,5565.04,0,53.2491,0.0,0.0,0.0,0.0,772.745,0.0,10692
467,0.267374,-0.234293,-0.934675,4100.98,3838.02,0,262.958,0.0,0.0,0.0,0.0,544.633,0.0,12987
468,-0.433974,-0.518389,-0.736845,4264.67,3904.09,0,360.577,0.0,0.0,0.0,0.0,581.655,0.0,9595
469,0.226574,-0.0079441,0.973961,2664.95,2480.24,0,184.715,0.0,0.0,0.0,0.0,345.895,0.0,10813
470,0.387927,0.912007,0.13325,9432.07,9093.44,0,104.646,33.5847,106.641,93.7613,0.0,1323.04,0.0,12836
471,-0.327449,0.656084,-0.67995,4233.01,3851.67,0,381.334,0.0,0.0,0.0,0.0,578.769,0.0,8995
