Event,Tot,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons
679,2539.26,2456.41,0,82.8456,0.0,0.0,0.0,0.0,355.963,0.0,3287
680,2828.11,2739.34,0,88.769,0.0,0.0,0.0,0.0,396.243,0.0,3660
681,2833.73,2754.77,0,78.9588,0.0,0.0,0.0,0.0,392.797,0.0,4728
682,2884.28,2805.06,0,79.2221,0.0,0.0,0.0,0.0,402.567,0.0,3840
683,2546.0,2454.68,0,91.3242,0.0,0.0,0.0,0.0,356.179,0.0,3446
684,2894.19,2732.66,0,161.532,0.0,0.0,0.0,0.0,406.477,0.0,3506
685,2525.39,2434.81,0,90.5808,0.0,0.0,0.0,0.0,352.447,0.0,3694
686,2975.43,2891.29,0,84.1349,0.0,0.0,0.0,0.0,417.539,0.0,3569
687,3025.82,2945.63,0,80.1831,0.0,0.0,0.0,0.0,424.947,0.0,3462
688,3040.0,2963.18,0,76.8159,0.0,0.0,0.0,0.0,421.924,0.0,4955
689,3030.46,2461.4,0,167.877,0.0,0.0,343.3,57.8817,426.059,0.0,3526
690,3252.67,3159.69,0,92.9809,0.0,0.0,0.0,0.0,455.579,0.0,3914
691,3193.76,3105.02,0,88.7408,0.0,0.0,0.0,0.0,449.152,0.0,3552
692,3189.93,3104.04,0,85.8888,0.0,0.0,0.0,0.0,447.132,0.0,3835
693,2801.54,2715.93,0,85.6061,0.0,0.0,0.0,0.0,393.703,0.0,3207
694,3044.29,2972.81,0,71.4789,0.0,0.0,0.0,0.0,427.979,0.0,3557
695,2763.78,2683.34,0,80.4455,0.0,0.0,0.0,0.0,389.303,0.0,3216
696,3256.29,2659.82,0,317.333,0.0,106.315,172.822,0.0,453.577,0.0,5023
697,4280.73,3519.24,0,59.3958,0.0,174.287,306.23,221.584,601.177,0.0,4989
698,2709.13,2610.78,0,98.3525,0.0,0.0,0.0,0.0,377.976,0.0,4036
699,2699.81,2618.88,0,80.9313,0.0,0.0,0.0,0.0,373.546,0.0,4587
700,2874.59,2773.98,0,100.608,0.0,0.0,0.0,0.0,402.595,0.0,3344
701,2863.08,2700.59,0,162.49,0.0,0.0,0.0,0.0,400.66,0.0,3997
702,2590.1,2408.97,0,181.129,0.0,0.0,0.0,0.0,357.547,0.0,4798
703,2972.37,2892.17,0,80.1962,0.0,0.0,0.0,0.0,415.908,0.0,3768
704,2615.92,2502.03,0,113.898,0.0,0.0,0.0,0.0,367.127,0.0,3250
705,2478.51,2379.77,0,98.7337,0.0,0.0,0.0,0.0,348.545,0.0,2871
706,2816.13,2718.22,0,97.9091,0.0,0.0,0.0,0.0,394.016,0.0,3579
707,2418.57,2321.51,0,97.066,0.0,0.0,0.0,0.0,339.842,0.0,2941
708,2911.62,2818.02,0,93.5963,0.0,0.0,0.0,0.0,408.134,0.0,3440
709,3395.14,3324.17,0,70.9748,0.0,0.0,0.0,0.0,472.88,0.0,4557
710,2894.0,2819.33,0,74.6665,0.0,0.0,0.0,0.0,406.363,0.0,3475
711,2700.21,2617.67,0,82.5403,0.0,0.0,0.0,0.0,380.024,0.0,3087
712,2418.74,2330.62,0,88.123,0.0,0.0,0.0,0.0,341.411,0.0,2748
713,2477.63,2400.71,0,76.9179,0.0,0.0,0.0,0.0,344.264,0.0,4132
714,3242.27,3126.8,0,115.475,0.0,0.0,0.0,0.0,454.174,0.0,4102
715,2867.62,2773.7,0,93.9203,0.0,0.0,0.0,0.0,402.308,0.0,3339
716,2953.35,2867.06,0,86.2935,0.0,0.0,0.0,0.0,414.282,0.0,3573
717,2945.54,2866.94,0,78.5918,0.0,0.0,0.0,0.0,413.212,0.0,3554
718,2876.21,2755.21,0,121.005,0.0,0.0,0.0,0.0,403.622,0.0,3545
719,2685.69,2605.52,0,80.1742,0.0,0.0,0.0,0.0,376.719,0.0,3437
720,3068.22,2550.21,0,166.561,0.0,105.108,246.34,0.0,430.942,0.0,3590
721,2786.85,2493.49,0,293.358,0.0,0.0,0.0,0.0,388.999,0.0,4021
722,2733.42,2636.89,0,96.5262,0.0,0.0,0.0,0.0,384.646,0.0,3146
723,3085.9,2985.43,0,100.475,0.0,0.0,0.0,0.0,431.392,0.0,3955
724,3002.81,2926.46,0,76.3438,0.0,0.0,0.0,0.0,421.869,0.0,3530
725,3540.52,2888.21,0,336.606,0.0,0.0,226.56,89.1436,497.599,0.0,4157
726,3547.83,2792.63,0,562.13,0.0,97.0403,96.0279,0.0,490.611,0.0,6492
727,2834.1,2745.62,0,88.4799,0.0,0.0,0.0,0.0,398.059,0.0,3291
728,3176.57,3069.5,0,107.072,0.0,0.0,0.0,0.0,445.283,0.0,3952
729,3500.55,2811.23,0,350.616,0.0,103.631,235.07,0.0,486.645,0.0,5413
730,3705.24,2626.46,0,380.8,0.0,211.593,486.389,0.0,520.103,0.0,4490
731,2765.43,2607.5,0,157.925,0.0,0.0,0.0,0.0,387.974,0.0,3103
732,3071.15,2931.99,0,139.152,0.0,0.0,0.0,0.0,430.759,0.0,3644
733,3020.51,2943.57,0,76.9409,0.0,0.0,0.0,0.0,423.894,0.0,3535
734,2789.65,2707.51,0,82.1379,0.0,0.0,0.0,0.0,391.622,0.0,3374
735,3394.68,2753.55,0,155.174,0.0,106.425,379.53,0.0,477.953,0.0,3885
736,2768.53,2669.56,0,98.965,0.0,0.0,0.0,0.0,388.433,0.0,3218
737,2817.6,2721.75,0,95.848,0.0,0.0,0.0,0.0,396.15,0.0,3144
738,3091.42,3007.04,0,84.3747,0.0,0.0,0.0,0.0,434.119,0.0,3563
739,2516.06,2428.54,0,87.5196,0.0,0.0,0.0,0.0,353.864,0.0,2915
740,2879.92,2804.6,0,75.3154,0.0,0.0,0.0,0.0,404.392,0.0,3460
741,3049.68,2960.78,0,88.8999,0.0,0.0,0.0,0.0,428.34,0.0,3494
742,2732.77,2661.75,0,71.0233,0.0,0.0,0.0,0.0,384.251,0.0,3068
743,3659.06,3016.55,0,288.6,0.0,106.589,247.329,0.0,508.78,0.0,5915
744,3117.9,2556.38,0,198.107,0.0,105.42,257.991,0.0,437.376,0.0,3798
745,2920.21,2847.0,0,73.2088,0.0,0.0,0.0,0.0,410.144,0.0,3509
746,2837.71,2760.83,0,76.8851,0.0,0.0,0.0,0.0,398.319,0.0,3375
747,2808.65,2560.45,0,248.208,0.0,0.0,0.0,0.0,388.834,0.0,4725
748,3196.29,2683.79,0,237.763,0.0,104.607,170.129,0.0,448.775,0.0,3707
749,2713.34,2622.59,0,90.7536,0.0,0.0,0.0,0.0,380.997,0.0,3294
750,3341.4,3270.45,0,70.9456,0.0,0.0,0.0,0.0,464.508,0.0,4758
751,3266.96,3071.85,0,195.111,0.0,0.0,0.0,0.0,459.489,0.0,3748
752,3125.99,3037.05,0,88.9422,0.0,0.0,0.0,0.0,439.257,0.0,3606
753,2596.54,2479.67,0,116.869,0.0,0.0,0.0,0.0,365.343,0.0,3018
754,3131.36,3061.61,0,69.7526,0.0,0.0,0.0,0.0,439.051,0.0,3869
755,3285.59,3158.93,0,126.661,0.0,0.0,0.0,0.0,460.52,0.0,4129
756,2823.01,2651.93,0,171.083,0.0,0.0,0.0,0.0,395.917,0.0,3450
757,2917.47,2789.57,0,127.903,0.0,0.0,0.0,0.0,410.311,0.0,3434
758,3318.65,3133.97,0,4.14883,0.0,106.469,74.0611,0.0,466.487,0.0,4065
759,2869.54,2775.28,0,94.2586,0.0,0.0,0.0,0.0,402.243,0.0,3604
760,2810.39,2721.69,0,88.6985,0.0,0.0,0.0,0.0,392.968,0.0,3612
761,3463.85,2920.12,0,278.439,0.0,106.68,158.609,0.0,487.721,0.0,3856
762,2840.46,2753.71,0,86.7465,0.0,0.0,0.0,0.0,399.237,0.0,3382
763,2507.13,2399.41,0,107.723,0.0,0.0,0.0,0.0,352.608,0.0,2924
764,2938.45,2855.44,0,83.0092,0.0,0.0,0.0,0.0,412.646,0.0,3587
765,2811.5,2634.16,0,177.345,0.0,0.0,0.0,0.0,393.951,0.0,3419
766,3266.33,2491.61,0,181.728,0.0,106.65,297.158,189.181,458.496,0.0,3884
767,2828.69,2739.18,0,89.5078,0.0,0.0,0.0,0.0,391.873,0.0,4935
768,2641.74,2546.24,0,95.5004,0.0,0.0,0.0,0.0,372.207,0.0,2944
769,2960.38,2592.71,0,47.3861,0.0,104.186,41.6773,174.424,415.398,0.0,3540
770,3620.51,2804.68,0,286.761,0.0,106.28,215.296,207.502,508.166,0.0,4262
771,3824.36,3077.61,0,52.7,0.0,212.933,481.119,0.0,536.14,0.0,4664
772,2647.81,2547.19,0,100.617,0.0,0.0,0.0,0.0,372.141,0.0,3114
773,2833.32,2752.16,0,81.1605,0.0,0.0,0.0,0.0,397.373,0.0,3470
774,2560.01,2417.38,0,142.63,0.0,0.0,0.0,0.0,359.44,0.0,3068
775,2803.94,2727.57,0,76.3732,0.0,0.0,0.0,0.0,394.228,0.0,3190
776,3060.45,2981.73,0,78.7234,0.0,0.0,0.0,0.0,429.953,0.0,3533
777,3194.68,2687.64,0,223.765,0.0,106.28,176.994,0.0,449.311,0.0,3694
778,3097.73,3000.75,0,96.9822,0.0,0.0,0.0,0.0,434.767,0.0,3657
779,2959.86,2869.86,0,89.9985,0.0,0.0,0.0,0.0,409.944,0.0,4891
780,3264.4,3183.66,0,80.7351,0.0,0.0,0.0,0.0,458.938,0.0,3633
781,2575.63,2481.29,0,94.3411,0.0,0.0,0.0,0.0,357.132,0.0,4284
782,2775.55,2695.08,0,80.4627,0.0,0.0,0.0,0.0,384.881,0.0,4595
783,3078.97,3001.87,0,77.1018,0.0,0.0,0.0,0.0,432.439,0.0,3620
784,2691.14,2587.74,0,103.402,0.0,0.0,0.0,0.0,378.257,0.0,3195
785,2874.5,2753.43,0,121.063,0.0,0.0,0.0,0.0,403.145,0.0,3585
786,2776.25,2673.61,0,102.643,0.0,0.0,0.0,0.0,390.548,0.0,3373
787,3168.71,2647.2,0,191.705,0.0,96.3375,233.473,0.0,445.134,0.0,3873
788,2789.02,2696.64,0,92.3812,0.0,0.0,0.0,0.0,392.394,0.0,3272
789,2685.25,2526.8,0,158.443,0.0,0.0,0.0,0.0,368.38,0.0,5449
790,3280.05,3178.53,0,101.526,0.0,0.0,0.0,0.0,460.396,0.0,3944
791,2800.7,2722.7,0,78.0005,0.0,0.0,0.0,0.0,388.89,0.0,4577
792,2973.42,2886.8,0,86.6252,0.0,0.0,0.0,0.0,417.195,0.0,3656
793,2812.17,2659.99,0,152.184,0.0,0.0,0.0,0.0,394.995,0.0,3311
794,2839.12,2759.61,0,79.5074,0.0,0.0,0.0,0.0,397.977,0.0,3551
795,2782.65,2693.34,0,89.3155,0.0,0.0,0.0,0.0,387.326,0.0,4122
796,2892.8,2804.46,0,88.3354,0.0,0.0,0.0,0.0,407.253,0.0,3263
797,2821.34,2584.32,0,237.017,0.0,0.0,0.0,0.0,396.73,0.0,3410
798,3101.43,2979.88,0,121.547,0.0,0.0,0.0,0.0,436.516,0.0,3612
799,2853.72,2777.64,0,76.0832,0.0,0.0,0.0,0.0,401.011,0.0,3359
800,2726.89,2567.81,0,159.08,0.0,0.0,0.0,0.0,382.493,0.0,3361
801,3175.0,2633.05,0,142.973,0.0,106.691,292.284,0.0,443.874,0.0,4420
802,3047.96,2965.34,0,82.6141,0.0,0.0,0.0,0.0,425.958,0.0,3999
803,3458.74,3395.28,0,63.4527,0.0,0.0,0.0,0.0,486.706,0.0,3903
804,4491.19,2785.61,0,383.36,20.7736,206.825,627.998,466.339,629.646,0.288,5238
805,3049.49,2383.01,0,145.221,0.0,106.019,241.758,173.488,428.596,0.0,3623
806,2662.21,2573.23,0,88.9795,0.0,0.0,0.0,0.0,374.568,0.0,3004
807,2793.09,2693.27,0,99.815,0.0,0.0,0.0,0.0,390.616,0.0,3545
808,2769.57,2581.35,0,188.22,0.0,0.0,0.0,0.0,388.536,0.0,3408
809,2714.71,2611.45,0,103.255,0.0,0.0,0.0,0.0,381.458,0.0,3246
810,2679.99,2589.94,0,90.0507,0.0,0.0,0.0,0.0,374.071,0.0,3777
811,2807.64,2699.78,0,107.85,0.0,0.0,0.0,0.0,393.926,0.0,3321
812,3245.3,2623.82,0,285.151,0.0,82.6343,253.693,0.0,456.029,0.0,3840
813,2856.3,2768.39,0,87.9116,0.0,0.0,0.0,0.0,402.426,0.0,3218
814,3115.26,3035.55,0,79.7106,0.0,0.0,0.0,0.0,437.769,0.0,3625
815,3873.28,3814.81,0,58.4715,0.0,0.0,0.0,0.0,542.726,0.0,4814
816,2684.78,2606.5,0,78.2704,0.0,0.0,0.0,0.0,377.954,0.0,3080
817,3850.84,3220.14,0,103.174,0.0,105.609,421.918,0.0,538.144,0.0,5123
818,2916.57,2806.8,0,109.77,0.0,0.0,0.0,0.0,409.362,0.0,3297
819,2848.05,2760.13,0,87.9145,0.0,0.0,0.0,0.0,400.607,0.0,3258
820,3021.01,2899.49,0,121.519,0.0,0.0,0.0,0.0,420.218,0.0,4529
821,2736.01,2649.41,0,86.5961,0.0,0.0,0.0,0.0,383.382,0.0,3588
822,2580.96,2490.9,0,90.0602,0.0,0.0,0.0,0.0,362.554,0.0,2881
823,3434.88,2935.6,0,243.824,0.0,73.7975,181.658,0.0,482.809,0.0,3968
824,3026.89,2938.91,0,87.9819,0.0,0.0,0.0,0.0,424.195,0.0,3679
825,3048.62,2963.4,0,85.2243,0.0,0.0,0.0,0.0,427.046,0.0,3922
826,2769.73,2686.44,0,83.2918,0.0,0.0,0.0,0.0,382.183,0.0,5055
827,3234.02,2705.66,0,328.772,0.0,102.992,96.5992,0.0,453.935,0.0,4049
828,3899.62,2758.55,0,254.412,0.0,205.957,544.744,135.956,546.83,0.0,4763
829,3426.32,2818.12,0,317.543,0.0,106.447,184.205,0.0,481.815,0.0,3891
830,2787.28,2666.01,0,121.269,0.0,0.0,0.0,0.0,392.389,0.0,3209
831,2729.63,2611.7,0,117.929,0.0,0.0,0.0,0.0,383.684,0.0,3353
832,2675.66,2596.99,0,78.6672,0.0,0.0,0.0,0.0,373.737,0.0,3829
833,3282.95,3203.44,0,79.5076,0.0,0.0,0.0,0.0,461.029,0.0,3826
834,2750.55,2657.95,0,92.5937,0.0,0.0,0.0,0.0,387.584,0.0,3173
835,2749.22,2665.59,0,83.6348,0.0,0.0,0.0,0.0,386.516,0.0,3274
836,3012.02,2815.12,0,45.4848,0.0,104.121,47.2966,0.0,422.784,0.0,3718
837,3291.08,3215.59,0,75.4959,0.0,0.0,0.0,0.0,461.805,0.0,3759
838,3356.47,2685.22,0,293.697,0.0,106.158,125.448,145.944,471.809,0.0,3730
839,3106.33,3033.52,0,72.8164,0.0,0.0,0.0,0.0,436.757,0.0,3499
840,2726.01,2643.5,0,82.5121,0.0,0.0,0.0,0.0,382.401,0.0,3293
841,3415.26,2699.79,0,475.801,0.0,106.674,132.994,0.0,479.869,0.0,3875
842,2927.4,2833.42,0,93.9786,0.0,0.0,0.0,0.0,411.306,0.0,3273
843,2473.37,2384.8,0,88.5665,0.0,0.0,0.0,0.0,346.778,0.0,3257
844,3008.7,2935.0,0,73.7012,0.0,0.0,0.0,0.0,422.465,0.0,3505
845,3268.06,2611.93,0,164.072,0.0,55.9458,334.84,101.272,459.444,0.0,3763
846,2603.41,2493.98,0,109.431,0.0,0.0,0.0,0.0,366.168,0.0,3046
847,2853.9,2772.2,0,81.7006,0.0,0.0,0.0,0.0,399.57,0.0,3627
848,2805.76,2617.05,0,188.71,0.0,0.0,0.0,0.0,393.783,0.0,3185
849,2896.37,2817.57,0,78.7938,0.0,0.0,0.0,0.0,403.1,0.0,4226
850,3325.89,3258.35,0,67.5375,0.0,0.0,0.0,0.0,466.79,0.0,3780
851,3170.81,2535.31,0,171.447,0.0,106.691,357.358,0.0,446.18,0.0,3728
852,3039.21,2388.99,0,165.081,0.0,103.871,381.263,0.0,427.597,0.0,3361
853,2881.97,2793.16,0,88.8119,0.0,0.0,0.0,0.0,404.586,0.0,3451
854,3020.11,2945.94,0,74.1657,0.0,0.0,0.0,0.0,419.701,0.0,4805
855,3484.23,2955.88,0,354.632,0.0,105.463,68.252,0.0,489.615,0.0,4019
856,2748.27,2634.2,0,114.071,0.0,0.0,0.0,0.0,386.267,0.0,3143
857,2978.4,2838.61,0,139.785,0.0,0.0,0.0,0.0,417.252,0.0,3707
858,3646.58,2546.67,0,550.099,0.0,106.687,206.918,236.202,513.144,0.0,4217
859,2748.02,2665.7,0,82.317,0.0,0.0,0.0,0.0,386.044,0.0,3341
860,2593.83,2496.36,0,97.4611,0.0,0.0,0.0,0.0,364.097,0.0,3243
861,2662.81,2576.59,0,86.2258,0.0,0.0,0.0,0.0,372.849,0.0,3408
862,2958.19,2867.42,0,90.767,0.0,0.0,0.0,0.0,414.568,0.0,3618
863,2602.92,2518.03,0,84.8895,0.0,0.0,0.0,0.0,363.499,0.0,3586
864,2667.5,2570.47,0,97.0258,0.0,0.0,0.0,0.0,375.367,0.0,3113
865,2808.06,2737.19,0,70.8665,0.0,0.0,0.0,0.0,391.245,0.0,4248
866,2856.1,2771.11,0,84.9843,0.0,0.0,0.0,0.0,400.792,0.0,3254
867,2858.15,2774.41,0,83.7432,0.0,0.0,0.0,0.0,401.779,0.0,3291
868,3316.54,3237.1,0,79.4405,0.0,0.0,0.0,0.0,464.045,0.0,4036
869,2879.05,2746.02,0,133.032,0.0,0.0,0.0,0.0,403.668,0.0,3503
870,2752.37,2666.37,0,85.9965,0.0,0.0,0.0,0.0,385.486,0.0,3620
871,3090.14,3013.2,0,76.9385,0.0,0.0,0.0,0.0,433.468,0.0,3688
