Event,Tot,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons
636,1835.23,1801.64,0,33.5894,0.0,0.0,0.0,0.0,260.427,0.0,2239
637,1611.89,1585.1,0,26.7923,0.0,0.0,0.0,0.0,229.44,0.0,1978
638,1730.54,1706.62,0,23.9195,0.0,0.0,0.0,0.0,245.986,0.0,2059
639,1787.03,1758.25,0,28.7721,0.0,0.0,0.0,0.0,253.672,0.0,2253
640,1912.07,1662.56,0,35.6329,0.0,102.503,111.377,0.0,270.602,0.0,2395
641,1703.04,1681.89,0,21.1433,0.0,0.0,0.0,0.0,241.578,0.0,2161
642,2292.04,1798.46,0,111.601,0.0,0.0,54.3465,327.64,324.602,0.0,2804
643,2297.37,2275.74,0,21.6341,0.0,0.0,0.0,0.0,324.76,0.0,2817
644,1970.17,1952.39,0,17.7846,0.0,0.0,0.0,0.0,279.493,0.0,2443
645,1648.05,1626.0,0,22.0459,0.0,0.0,0.0,0.0,234.202,0.0,2135
646,1653.23,1633.21,0,20.0251,0.0,0.0,0.0,0.0,234.793,0.0,1987
647,1891.46,1871.6,0,19.8559,0.0,0.0,0.0,0.0,267.727,0.0,2343
648,2110.46,2044.09,0,66.3717,0.0,0.0,0.0,0.0,299.234,0.0,2610
649,1484.47,1456.05,0,28.4194,0.0,0.0,0.0,0.0,212.199,0.0,1789
650,1537.09,1515.31,0,21.7745,0.0,0.0,0.0,0.0,219.179,0.0,1829
651,1808.97,1776.58,0,32.3922,0.0,0.0,0.0,0.0,256.665,0.0,2158
652,2164.08,1940.78,0,81.541,0.0,65.2113,76.5437,0.0,306.228,0.0,2670
653,1697.86,1662.11,0,35.7483,0.0,0.0,0.0,0.0,242.058,0.0,2084
654,2231.55,2212.37,0,19.177,0.0,0.0,0.0,0.0,315.485,0.0,2726
655,1607.98,1587.57,0,20.4054,0.0,0.0,0.0,0.0,228.901,0.0,1907
656,1570.78,1541.68,0,29.1083,0.0,0.0,0.0,0.0,223.252,0.0,1920
657,1626.68,1611.99,0,14.6863,0.0,0.0,0.0,0.0,231.081,0.0,2062
658,1748.74,1726.73,0,22.0072,0.0,0.0,0.0,0.0,247.96,0.0,2167
659,1948.82,1928.8,0,20.0127,0.0,0.0,0.0,0.0,276.3,0.0,2365
660,1948.22,1926.23,0,21.9873,0.0,0.0,0.0,0.0,276.631,0.0,2339
661,1835.81,1768.46,0,67.3505,0.0,0.0,0.0,0.0,261.092,0.0,2217
662,1662.01,1642.64,0,19.3769,0.0,0.0,0.0,0.0,235.99,0.0,2071
663,2235.42,1764.91,0,36.7072,0.0,105.81,327.995,0.0,315.35,0.0,2750
664,1747.33,1710.75,0,36.5824,0.0,0.0,0.0,0.0,248.253,0.0,2148
665,1898.35,1878.37,0,19.9799,0.0,0.0,0.0,0.0,268.924,0.0,2312
666,1807.32,1774.73,0,32.5858,0.0,0.0,0.0,0.0,256.608,0.0,2213
667,2347.07,2322.26,0,24.8051,0.0,0.0,0.0,0.0,331.712,0.0,2799
668,1406.46,1378.34,0,28.1136,0.0,0.0,0.0,0.0,200.926,0.0,1777
669,1724.58,1650.27,0,74.3108,0.0,0.0,0.0,0.0,244.379,0.0,2096
670,1929.03,1884.9,0,44.1332,0.0,0.0,0.0,0.0,273.705,0.0,2413
671,2255.95,1899.71,0,21.4671,0.0,0.0,6.95547,327.816,319.407,0.0,2772
672,1836.3,1816.94,0,19.3587,0.0,0.0,0.0,0.0,260.009,0.0,2289
673,2269.78,2019.5,0,15.3295,0.0,0.0,11.2202,223.725,321.593,0.0,2793
674,1932.7,1913.16,0,19.5382,0.0,0.0,0.0,0.0,273.561,0.0,2418
675,1982.1,1953.26,0,28.8487,0.0,0.0,0.0,0.0,280.348,0.0,2404
676,1535.84,1474.59,0,61.2495,0.0,0.0,0.0,0.0,219.025,0.0,1893
677,1642.82,1609.62,0,33.1994,0.0,0.0,0.0,0.0,233.484,0.0,2011
678,2317.51,2044.99,0,11.4374,0.0,0.0,24.3795,236.7,328.209,0.0,2732
679,1879.94,1857.66,0,22.2791,0.0,0.0,0.0,0.0,266.543,0.0,2358
680,1748.12,1721.15,0,26.9668,0.0,0.0,0.0,0.0,248.038,0.0,2212
681,1625.28,1604.5,0,20.7829,0.0,0.0,0.0,0.0,231.098,0.0,1955
682,2251.54,1971.04,0,206.268,0.0,0.0,74.2267,0.0,318.443,0.0,2768
683,1535.45,1511.07,0,24.3777,0.0,0.0,0.0,0.0,217.805,0.0,1925
684,2156.23,1911.0,0,171.195,0.0,43.9712,30.0642,0.0,305.262,0.0,2568
685,1697.9,1679.63,0,18.2777,0.0,0.0,0.0,0.0,241.961,0.0,2002
686,3045.24,2628.46,0,171.705,0.0,105.256,139.822,0.0,429.803,0.0,3980
687,1714.52,1691.11,0,23.4072,0.0,0.0,0.0,0.0,243.509,0.0,2047
688,1622.1,1580.58,0,41.5253,0.0,0.0,0.0,0.0,230.568,0.0,1984
