Event,Tot,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons
596,1748.85,1731.28,0,17.5645,0.0,0.0,0.0,0.0,227.702,0.0,7517
597,1819.12,1799.53,0,19.5901,0.0,0.0,0.0,0.0,236.362,0.0,8072
598,1996.84,1978.36,0,18.486,0.0,0.0,0.0,0.0,263.552,0.0,7496
599,1556.44,1529.75,0,26.688,0.0,0.0,0.0,0.0,203.222,0.0,6581
600,2100.41,1770.01,0,18.4226,0.0,105.513,11.7504,194.715,276.078,0.0,8262
601,1710.18,1684.87,0,25.311,0.0,0.0,0.0,0.0,222.465,0.0,7564
602,1634.18,1601.2,0,23.3424,0.0,3.6992,0.0,5.93951,215.053,0.0,6623
603,1766.22,1744.04,0,22.1777,0.0,0.0,0.0,0.0,229.164,0.0,8019
604,1442.96,1409.59,0,33.3693,0.0,0.0,0.0,0.0,188.999,0.0,6274
605,1681.6,1657.5,0,24.1009,0.0,0.0,0.0,0.0,218.32,0.0,7549
606,1690.1,1649.59,0,40.5095,0.0,0.0,0.0,0.0,218.666,0.0,7620
607,2033.85,2005.7,0,28.1444,0.0,0.0,0.0,0.0,266.989,0.0,8017
608,3186.36,2850.89,0,194.815,80.9857,0.0,59.6693,0.0,422.606,0.0,11850
609,1744.04,1717.02,0,27.0193,0.0,0.0,0.0,0.0,226.731,0.0,7644
610,1622.42,1601.7,0,20.718,0.0,0.0,0.0,0.0,213.825,0.0,6555
611,1891.81,1872.81,0,19.006,0.0,0.0,0.0,0.0,245.134,0.0,8437
612,2839.67,2710.34,0,22.3798,0.0,106.67,0.27563,0.0,378.843,0.0,9750
613,1983.55,1958.68,0,24.8658,0.0,0.0,0.0,0.0,258.128,0.0,8415
614,1521.62,1489.95,0,31.6654,0.0,0.0,0.0,0.0,198.878,0.0,6565
615,2756.66,2512.93,0,45.4966,0.0,106.59,91.6389,0.0,361.722,0.0,10614
616,1545.17,1517.17,0,27.9923,0.0,0.0,0.0,0.0,202.286,0.0,6630
617,1501.17,1480.46,0,20.7167,0.0,0.0,0.0,0.0,197.492,0.0,6280
618,1696.03,1673.13,0,22.8949,0.0,0.0,0.0,0.0,217.445,0.0,8302
619,1530.43,1505.16,0,25.2731,0.0,0.0,0.0,0.0,200.878,0.0,6474
620,1879.39,1858.81,0,20.5798,0.0,0.0,0.0,0.0,247.628,0.0,7292
621,1800.65,1670.52,0,0.102187,0.0,106.665,23.3633,0.0,237.484,0.0,7017
622,1850.79,1787.56,0,63.2298,0.0,0.0,0.0,0.0,239.364,0.0,8439
623,1503.18,1477.97,0,25.2093,0.0,0.0,0.0,0.0,196.85,0.0,6373
624,1712.83,1691.61,0,21.2216,0.0,0.0,0.0,0.0,223.372,0.0,7419
625,1760.14,1734.42,0,25.7174,0.0,0.0,0.0,0.0,225.517,0.0,8427
