Event,Px,Py,Pz,Tot,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons
2420,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2421,0.0,0.0,-1.0,662.0,529.207,0.0,0.0,0.0,69.4727,0,0.0,12.1202,63.32,17441
2422,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2423,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2424,0.0,0.0,-1.0,294.808,89.1529,0.0,0.0,21.3878,182.235,0,0.0,5.21711,2.032,7680
2425,0.0,0.0,-1.0,247.106,147.242,0.0,0.0,0.0,99.8635,0,0.0,4.37102,0.0,6635
2426,0.0,0.0,-1.0,426.136,278.481,0.0,0.0,0.0,147.655,0,0.0,7.74351,0.0,11128
2427,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2428,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2429,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2430,0.0,0.0,-1.0,165.044,63.0096,0.0,0.0,0.0,102.034,0,0.0,3.18479,0.0,4439
2431,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2432,0.0,0.0,-1.0,662.0,397.824,0.0,0.0,0.0,200.856,0,0.0,12.0591,63.32,17833
2433,0.0,0.0,-1.0,662.0,497.419,0.0,0.0,0.0,101.261,0,0.0,11.3596,63.32,17973
2434,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2435,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2436,0.0,0.0,-1.0,252.588,151.661,0.0,0.0,0.0,100.927,0,0.0,4.54905,0.0,6600
2437,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2438,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2439,0.0,0.0,-1.0,124.196,25.2981,0.0,0.0,0.0,98.8977,0,0.0,2.50992,0.0,3256
2440,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2441,0.0,0.0,-1.0,200.31,109.419,0.0,0.0,0.0,90.891,0,0.0,3.89118,0.0,5286
2442,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2443,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2444,0.0,0.0,-1.0,109.477,7.76289,0.0,0.0,0.0,101.714,0,0.0,1.98166,0.0,2991
2445,0.0,0.0,-1.0,102.688,0.0,0.0,0.0,0.0,102.688,0,0.0,1.90297,0.0,2717
2446,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2447,0.0,0.0,-1.0,662.0,496.619,0.0,0.0,0.0,102.061,0,0.0,12.497,63.32,17421
2448,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2449,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2450,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2451,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2452,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2453,0.0,0.0,-1.0,662.0,497.507,0.0,0.0,0.0,101.173,0,0.0,12.2704,63.32,17349
2454,0.0,0.0,-1.0,662.0,337.087,0.0,0.0,0.0,261.593,0,0.0,12.465,63.32,17454
2455,0.0,0.0,-1.0,435.014,235.811,0.0,0.0,0.0,101.827,0,97.3764,8.23003,0.0,11490
2456,0.0,0.0,-1.0,662.0,396.685,0.0,0.0,0.0,201.995,0,0.0,12.6958,63.32,17514
2457,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2458,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2459,0.0,0.0,-1.0,92.7049,0.0,0.0,0.0,0.0,92.7049,0,0.0,1.65172,0.0,2423
2460,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2461,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2462,0.0,0.0,-1.0,203.334,144.143,0.0,0.0,0.0,59.1909,0,0.0,3.70603,0.0,5571
2463,0.0,0.0,-1.0,662.0,394.848,0.0,0.0,0.0,256.276,0,0.0,12.3767,10.876,17470
2464,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2465,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2466,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2467,0.0,0.0,-1.0,81.7065,0.0,0.0,0.0,0.0,81.7065,0,0.0,1.51246,0.0,2046
2468,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2469,0.0,0.0,-1.0,662.0,497.418,0.0,0.0,0.0,101.262,0,0.0,12.2426,63.32,17559
2470,0.0,0.0,-1.0,662.0,500.657,0.0,0.0,0.0,98.023,0,0.0,11.9996,63.32,17551
2471,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2472,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2473,0.0,0.0,-1.0,449.859,348.023,0.0,0.0,0.0,101.837,0,0.0,8.56951,0.0,12012
2474,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2475,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2476,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
