Event,Px,Py,Pz,Tot-OpAbs,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons,NOfScintPhotons
5989,0.000438746,-0.000157431,-1.0,4533.71,4061.95,0.0,471.762,0.0,0.0,0.0,0.0,168.898,0.0,1532,46185
5990,0.000193741,-0.000609217,-1.0,4472.15,3471.83,0.0,420.15,0.0,74.4227,505.749,0.0,167.682,0.0,1528,45653
5991,-0.000579535,-0.00113789,-0.999999,4175.77,3770.85,0.0,404.917,0.0,0.0,0.0,0.0,155.176,0.0,1642,42585
5992,-0.000376252,-7.39059e-05,-1.0,3945.22,3412.46,0.0,162.492,0.0,89.3779,280.887,0.0,147.873,0.0,1450,40326
5993,0.000326218,-4.2439e-05,-1.0,3625.73,3459.59,0.0,166.141,0.0,0.0,0.0,0.0,135.576,0.0,1301,37126
5994,-0.000430962,0.000655933,-1.0,4206.85,3720.35,0.0,486.499,0.0,0.0,0.0,0.0,156.84,0.0,1489,42937
5995,0.00034309,-0.000250887,-1.0,4027.74,3610.04,0.0,417.692,0.0,0.0,0.0,0.0,150.626,0.0,1393,41118
5996,-0.00036791,-6.47326e-05,-1.0,4242.91,3864.19,0.0,378.717,0.0,0.0,0.0,0.0,158.276,0.0,1462,43223
5997,0.000115438,0.000293071,-1.0,3992.69,3472.49,0.0,520.204,0.0,0.0,0.0,0.0,149.139,0.0,1363,40763
5998,-0.000584789,0.00107378,-0.999999,4720.07,4244.07,0.0,309.203,0.0,148.808,17.9906,0.0,175.854,0.0,1800,48123
5999,0.000282901,-0.00027933,-1.0,4017.89,3614.86,0.0,403.028,0.0,0.0,0.0,0.0,150.606,0.0,1380,41058
6000,0.000249265,4.00451e-05,-1.0,4156.64,3629.5,0.0,527.135,0.0,0.0,0.0,0.0,154.898,0.0,1521,42390
6001,-5.70301e-05,-0.000883967,-1.0,3992.1,3791.69,0.0,200.412,0.0,0.0,0.0,0.0,149.434,0.0,1421,40799
6002,4.12025e-05,0.000131023,-1.0,4348.32,3861.78,0.0,486.548,0.0,0.0,0.0,0.0,162.461,0.0,1496,44339
6003,0.000441199,-0.000338601,-1.0,3887.82,3486.67,0.0,401.156,0.0,0.0,0.0,0.0,144.897,0.0,1361,39707
6004,-0.000308428,0.00139013,-0.999999,3565.38,3380.5,0.0,184.881,0.0,0.0,0.0,0.0,133.932,0.0,1205,36524
6005,0.000176106,0.000150726,-1.0,4432.57,3761.55,0.0,671.019,0.0,0.0,0.0,0.0,165.565,0.0,1580,45201
6006,-0.000580454,0.000536468,-1.0,4531.41,4035.02,0.0,344.477,0.0,148.823,3.08852,0.0,169.763,0.0,1697,46409
6007,0.000516301,7.03907e-05,-1.0,4206.98,3677.2,0.0,358.717,0.0,148.985,22.0784,0.0,157.563,0.0,1449,42973
6008,-0.000122733,0.000136372,-1.0,4194.3,3756.63,0.0,437.675,0.0,0.0,0.0,0.0,156.329,0.0,1499,42791
6009,-1.31018e-06,-8.20246e-05,-1.0,4167.03,3715.75,0.0,451.273,0.0,0.0,0.0,0.0,155.562,0.0,1491,42530
6010,-0.00136406,0.000261036,-0.999999,3620.39,3406.27,0.0,214.113,0.0,0.0,0.0,0.0,134.988,0.0,1427,37094
6011,-0.000112581,0.00101856,-0.999999,4152.0,3608.67,0.0,543.332,0.0,0.0,0.0,0.0,154.891,0.0,1462,42357
6012,0.000423082,-8.71851e-05,-1.0,3633.38,3463.0,0.0,170.384,0.0,0.0,0.0,0.0,136.239,0.0,1254,37157
6013,-0.000214388,-3.5418e-05,-1.0,4413.15,3726.86,0.0,686.283,0.0,0.0,0.0,0.0,164.096,0.0,1597,45000
6014,-0.000494833,-0.000338585,-1.0,4322.49,3882.13,0.0,440.359,0.0,0.0,0.0,0.0,161.25,0.0,1476,44071
6015,0.000121123,-0.000381821,-1.0,4300.69,3936.47,0.0,364.218,0.0,0.0,0.0,0.0,160.251,0.0,1480,43797
6016,-5.70755e-05,-0.000329082,-1.0,3747.64,3599.68,0.0,147.956,0.0,0.0,0.0,0.0,140.302,0.0,1353,38362
6017,0.000481845,8.63519e-06,-1.0,5895.85,4331.48,0.0,370.344,0.0,297.712,896.312,0.0,218.848,0.0,2580,60395
6018,0.000420858,-0.00044583,-1.0,4388.75,3650.91,0.0,183.38,0.0,145.072,95.6158,313.772,164.26,0.0,1512,44836
6019,0.000414721,-0.000219789,-1.0,3350.18,3132.38,0.0,217.804,0.0,0.0,0.0,0.0,126.008,0.0,1091,34344
6020,-0.000885586,0.000602206,-0.999999,4097.63,3650.97,0.0,446.656,0.0,0.0,0.0,0.0,153.09,0.0,1391,41854
6021,-0.000761206,-0.000975857,-0.999999,5165.95,4170.1,0.0,120.056,0.0,297.73,578.064,0.0,192.252,0.0,1878,52663
6022,-0.000437831,0.000582055,-1.0,4215.26,3804.07,0.0,411.191,0.0,0.0,0.0,0.0,156.583,0.0,1565,42996
6023,-0.000650904,0.000386827,-1.0,3950.22,3477.04,0.0,473.18,0.0,0.0,0.0,0.0,148.248,0.0,1355,40389
6024,0.000155121,-0.000500047,-1.0,3691.3,3523.34,0.0,167.96,0.0,0.0,0.0,0.0,138.309,0.0,1276,37724
6025,6.12071e-05,-2.59647e-05,-1.0,5203.82,4064.44,0.0,419.453,0.0,296.889,181.467,241.57,193.336,0.0,1885,53144
6026,0.000152757,-0.000733975,-1.0,3763.02,3381.06,0.0,381.957,0.0,0.0,0.0,0.0,141.197,0.0,1240,38470
6027,0.000520688,0.00023146,-1.0,4655.62,3753.15,0.0,389.284,0.0,147.832,365.355,0.0,173.545,0.0,1606,47419
6028,5.94586e-05,-0.000428923,-1.0,3913.06,3541.25,0.0,371.802,0.0,0.0,0.0,0.0,146.046,0.0,1379,39941
6029,0.000410727,0.000328929,-1.0,3917.57,3523.02,0.0,394.555,0.0,0.0,0.0,0.0,147.011,0.0,1359,40025
6030,-4.38168e-05,-0.000406398,-1.0,4705.03,3702.93,0.0,331.681,0.0,145.749,524.674,0.0,175.258,0.0,1758,47924
6031,-0.000848698,0.000655934,-0.999999,4331.66,3942.09,0.0,389.566,0.0,0.0,0.0,0.0,161.803,0.0,1469,44126
6032,0.000151654,-7.84953e-05,-1.0,4681.87,4206.23,0.0,240.395,0.0,146.633,88.6032,0.0,174.938,0.0,1695,47825
6033,0.000497712,0.000261095,-1.0,4372.31,3534.92,0.0,323.699,0.0,133.453,219.622,160.612,164.13,0.0,1560,44840
6034,-0.000125609,0.000156197,-1.0,5880.55,4959.99,0.0,135.223,0.0,292.904,492.438,0.0,219.451,0.0,1940,59850
6035,-6.48021e-05,0.000336141,-1.0,3581.8,3434.09,0.0,147.705,0.0,0.0,0.0,0.0,134.643,0.0,1211,36690
6036,-0.000829631,-0.000724708,-0.999999,4420.36,3957.39,0.0,462.976,0.0,0.0,0.0,0.0,164.448,0.0,1590,45061
6037,0.000362077,0.000523114,-1.0,4250.59,3646.11,0.0,604.484,0.0,0.0,0.0,0.0,158.98,0.0,1389,43363
6038,-0.000199119,0.00129961,-0.999999,3902.22,3381.68,0.0,520.542,0.0,0.0,0.0,0.0,145.222,0.0,1489,39833
6039,-0.00193749,7.72231e-06,-0.999998,4216.59,3727.49,0.0,489.099,0.0,0.0,0.0,0.0,157.283,0.0,1469,42985
6040,-0.000626164,-0.00016838,-1.0,3645.77,3456.93,0.0,188.841,0.0,0.0,0.0,0.0,135.99,0.0,1382,37303
6041,-9.38832e-05,0.000128819,-1.0,3976.79,3541.33,0.0,435.459,0.0,0.0,0.0,0.0,148.49,0.0,1337,40619
6042,0.000955802,0.00142705,-0.999999,3949.9,3576.21,0.0,373.688,0.0,0.0,0.0,0.0,147.297,0.0,1371,40324
6043,0.000108511,4.63978e-05,-1.0,4130.3,3731.63,0.0,398.665,0.0,0.0,0.0,0.0,153.695,0.0,1400,42135
6044,0.00144781,-0.000311067,-0.999999,4329.78,3877.58,0.0,225.167,0.0,148.871,78.1616,0.0,162.782,0.0,1453,44357
6045,-0.000966604,-0.000616848,-0.999999,4488.63,3716.98,0.0,212.583,0.0,98.546,194.808,265.716,166.597,0.0,1602,45738
6046,-0.0001887,-0.000380185,-1.0,4771.61,3379.28,0.0,304.559,0.0,291.981,795.796,0.0,177.806,0.0,1609,48654
6047,0.000281923,0.000727986,-1.0,3518.79,3351.92,0.0,166.868,0.0,0.0,0.0,0.0,131.722,0.0,1258,36053
6048,-0.000639339,-0.000443097,-1.0,3723.61,3425.36,0.0,298.246,0.0,0.0,0.0,0.0,139.795,0.0,1279,38135
6049,-0.000314602,0.000304909,-1.0,3721.0,3571.73,0.0,149.268,0.0,0.0,0.0,0.0,139.89,0.0,1298,38101
6050,4.23737e-05,-0.00083609,-1.0,4278.41,3856.79,0.0,421.616,0.0,0.0,0.0,0.0,160.555,0.0,1427,43653
6051,0.000248211,0.000251966,-1.0,3884.62,3495.92,0.0,388.704,0.0,0.0,0.0,0.0,145.371,0.0,1382,39740
6052,0.000377059,-0.000338568,-1.0,5544.83,4319.84,0.0,187.622,0.0,284.403,384.603,368.361,206.073,0.0,1967,56516
6053,-0.000153083,-0.000647548,-1.0,3433.29,3231.87,0.0,201.415,0.0,0.0,0.0,0.0,128.904,0.0,1223,35169
6054,8.09102e-05,-0.000400181,-1.0,5218.51,4212.94,0.0,298.21,0.0,148.984,558.377,0.0,195.147,0.0,1884,53383
6055,-9.87329e-05,0.000697066,-1.0,3539.02,3371.58,0.0,167.443,0.0,0.0,0.0,0.0,132.531,0.0,1278,36245
6056,6.8747e-06,3.37023e-05,-1.0,3727.07,3570.43,0.0,156.647,0.0,0.0,0.0,0.0,139.617,0.0,1258,38100
6057,-0.000253436,0.0003895,-1.0,4695.57,3519.88,0.0,484.149,0.0,148.67,444.446,98.4283,175.305,0.0,1670,47878
6058,-0.000190935,-0.000274774,-1.0,4240.18,3844.11,0.0,396.072,0.0,0.0,0.0,0.0,158.517,0.0,1661,43237
6059,0.00050727,-0.000554201,-1.0,3638.77,3503.44,0.0,135.325,0.0,0.0,0.0,0.0,136.174,0.0,1315,37209
6060,0.000225596,0.000318012,-1.0,3722.95,3485.74,0.0,237.209,0.0,0.0,0.0,0.0,140.055,0.0,1196,38051
6061,-0.000334216,0.000154678,-1.0,5604.21,4433.42,0.0,70.3733,0.0,297.985,802.429,0.0,208.922,0.0,2176,57167
6062,-0.000175331,-0.000150314,-1.0,4959.09,4422.57,0.0,269.74,0.0,115.476,151.303,0.0,185.261,0.0,1686,50567
6063,0.000301149,0.000324569,-1.0,4105.82,3589.71,0.0,516.106,0.0,0.0,0.0,0.0,153.437,0.0,1402,41934
6064,-0.000471161,0.000196801,-1.0,4391.68,3517.21,0.0,326.153,0.0,145.176,403.144,0.0,163.582,0.0,1536,44883
6065,-0.000382604,-0.000966367,-0.999999,5394.43,3857.19,0.0,8.26608,0.0,261.155,530.516,737.303,201.921,0.0,1867,55201
6066,-8.71999e-05,0.000157427,-1.0,3938.38,3553.28,0.0,385.097,0.0,0.0,0.0,0.0,147.589,0.0,1479,40271
6067,0.000124508,-1.51088e-05,-1.0,5227.74,4171.39,0.0,144.772,0.0,292.617,618.962,0.0,195.97,0.0,1745,53387
6068,-3.49655e-05,0.000138137,-1.0,4917.34,4295.3,0.0,622.038,0.0,0.0,0.0,0.0,183.264,0.0,1679,49966
6069,-0.000461863,-0.000156984,-1.0,4140.05,3614.49,0.0,525.562,0.0,0.0,0.0,0.0,154.381,0.0,1451,42250
6070,0.0003109,2.92887e-06,-1.0,3621.46,3386.31,0.0,235.147,0.0,0.0,0.0,0.0,135.819,0.0,1215,37060
6071,9.93665e-05,-0.000150969,-1.0,4497.58,3644.59,0.0,373.002,0.0,149.008,330.974,0.0,168.086,0.0,1742,46132
6072,0.000340262,0.000154204,-1.0,4574.38,4006.33,0.0,355.428,0.0,148.794,63.8299,0.0,170.853,0.0,1663,46624
6073,-0.000344805,0.000232781,-1.0,4170.51,3637.21,0.0,533.291,0.0,0.0,0.0,0.0,155.796,0.0,1394,42525
6074,-0.000345948,-0.000599487,-1.0,4339.35,3560.12,0.0,258.897,0.0,145.441,374.895,0.0,162.35,0.0,1469,44290
6075,-0.000862444,-0.000438328,-1.0,4397.63,3871.57,0.0,526.069,0.0,0.0,0.0,0.0,163.839,0.0,1530,44744
6076,-0.00024681,-0.000125404,-1.0,4125.48,3530.46,0.0,401.316,0.0,148.703,45.0018,0.0,154.153,0.0,1472,42177
6077,0.000461209,-0.000923408,-0.999999,4414.49,3434.97,0.0,168.962,0.0,297.929,512.632,0.0,164.544,0.0,1650,45109
6078,-0.000951034,-0.000676738,-0.999999,3510.5,3323.74,0.0,186.761,0.0,0.0,0.0,0.0,130.957,0.0,1370,35947
6079,0.000577773,0.000942271,-0.999999,4595.53,4019.95,0.0,166.993,0.0,148.825,259.767,0.0,171.522,0.0,1655,46898
6080,-0.000176355,-0.000438327,-1.0,4299.04,3928.97,0.0,370.072,0.0,0.0,0.0,0.0,159.88,0.0,1591,43868
6081,-0.000598223,-0.00121243,-0.999999,3957.03,3584.41,0.0,372.624,0.0,0.0,0.0,0.0,147.553,0.0,1349,40423
6082,0.000493118,-0.000539422,-1.0,4212.61,3804.19,0.0,408.419,0.0,0.0,0.0,0.0,156.285,0.0,1544,42939
6083,0.00016494,0.000308923,-1.0,4852.85,4399.25,0.0,273.412,0.0,149.015,31.1693,0.0,180.699,0.0,1693,49375
6084,-0.000347741,1.60174e-05,-1.0,4344.49,3971.15,0.0,373.338,0.0,0.0,0.0,0.0,161.7,0.0,1605,44272
6085,0.000224573,0.000249212,-1.0,4807.38,4689.97,0.0,117.411,0.0,0.0,0.0,0.0,179.549,0.0,1741,49127
6086,-0.000144592,-4.02959e-05,-1.0,4461.28,3398.43,0.0,345.862,0.0,148.67,199.781,368.538,167.667,0.0,1573,45706
6087,-0.000287956,0.000127027,-1.0,3744.04,3484.2,0.0,259.842,0.0,0.0,0.0,0.0,140.119,0.0,1251,38334
6088,-0.000542595,0.000341681,-1.0,3775.04,3579.7,0.0,195.336,0.0,0.0,0.0,0.0,138.975,0.0,1996,38625
6089,0.000189476,-9.93712e-05,-1.0,4173.87,3428.35,0.0,300.445,0.0,148.65,184.086,112.344,155.457,0.0,1533,42589
6090,-0.000502957,0.000586707,-1.0,4059.57,3575.27,0.0,484.308,0.0,0.0,0.0,0.0,151.427,0.0,1414,41487
6091,-0.000691591,-0.000669904,-1.0,4693.01,4424.6,0.0,268.409,0.0,0.0,0.0,0.0,175.107,0.0,1628,47834
6092,-0.000501261,1.56097e-05,-1.0,4034.67,3596.15,0.0,438.519,0.0,0.0,0.0,0.0,150.611,0.0,1443,41174
6093,-0.000416422,-0.000366899,-1.0,4633.3,3806.49,0.0,306.902,0.0,149.011,370.897,0.0,173.24,0.0,1642,47382
6094,-0.00026927,0.000304585,-1.0,4295.35,3930.23,0.0,365.122,0.0,0.0,0.0,0.0,160.531,0.0,1434,43819
