Event,Tot,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons
357,2700.54,2449.25,0,113.798,0.0,103.154,34.3435,0.0,380.086,0.0,3845
358,5616.85,5014.63,0,111.27,0.0,369.495,65.0534,56.3943,799.273,0.0,6162
359,1774.55,1747.01,0,27.5384,0.0,0.0,0.0,0.0,252.579,0.0,1904
360,2136.74,1785.59,0,104.319,0.0,105.751,23.1838,117.897,303.729,0.0,2272
361,2708.03,2438.26,0,55.2297,0.0,105.117,109.422,0.0,385.111,0.0,2975
362,1591.84,1567.92,0,23.9213,0.0,0.0,0.0,0.0,220.297,0.0,3604
363,2043.94,1984.9,0,59.0439,0.0,0.0,0.0,0.0,289.056,0.0,2640
364,1871.81,1842.28,0,29.53,0.0,0.0,0.0,0.0,265.438,0.0,2181
365,2196.61,2171.78,0,24.8297,0.0,0.0,0.0,0.0,312.234,0.0,2256
366,1955.77,1918.22,0,37.5516,0.0,0.0,0.0,0.0,278.414,0.0,2131
367,2193.01,1606.27,0,218.519,0.0,105.021,30.5327,232.663,311.021,0.0,2673
368,2339.85,1720.87,0,85.917,0.0,106.655,50.7693,375.635,332.714,0.0,2538
369,2504.93,2241.32,0,56.3561,0.0,106.354,100.902,0.0,351.207,0.0,3742
370,1855.59,1670.27,0,35.5427,0.0,0.0,96.0791,53.6986,262.972,0.0,2317
371,1782.79,1760.11,0,22.6787,0.0,0.0,0.0,0.0,253.295,0.0,1946
372,1934.96,1912.57,0,22.3869,0.0,0.0,0.0,0.0,273.706,0.0,2481
373,1477.12,1449.16,0,27.9593,0.0,0.0,0.0,0.0,209.003,0.0,2102
374,1868.16,1841.84,0,26.3173,0.0,0.0,0.0,0.0,264.69,0.0,2428
375,2114.03,2091.03,0,22.993,0.0,0.0,0.0,0.0,300.673,0.0,2309
376,2289.61,1827.61,0,31.8366,0.0,106.68,323.482,0.0,323.396,0.0,2933
377,1638.15,1618.15,0,19.9997,0.0,0.0,0.0,0.0,228.859,0.0,3028
378,2495.55,2264.69,0,53.2821,0.0,99.6328,77.9375,0.0,355.178,0.0,2579
