Event,Tot,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons
89,1577.21,1554.55,0,22.6637,0.0,0.0,0.0,0.0,223.438,0.0,2281
90,1791.19,1769.74,0,21.4487,0.0,0.0,0.0,0.0,254.171,0.0,2130
91,1915.0,1666.84,0,129.762,0.0,0.0,118.391,0.0,271.467,0.0,2393
92,2181.58,1774.73,0,104.206,0.0,0.0,75.2461,227.405,310.043,0.0,2474
93,1580.59,1516.87,0,63.7185,0.0,0.0,0.0,0.0,225.447,0.0,1848
94,2164.82,1920.89,0,67.3913,0.0,92.5489,83.986,0.0,306.356,0.0,2975
95,2453.25,2236.73,0,72.1222,0.0,78.0191,66.374,0.0,348.439,0.0,2943
96,3096.84,2584.42,0,106.41,0.0,213.095,192.908,0.0,436.736,0.0,3816
97,1882.81,1641.35,0,241.457,0.0,0.0,0.0,0.0,266.66,0.0,2269
98,1631.46,1609.95,0,21.5079,0.0,0.0,0.0,0.0,230.718,0.0,2189
99,1702.54,1679.07,0,23.4695,0.0,0.0,0.0,0.0,241.796,0.0,2012
100,1796.68,1776.35,0,20.3371,0.0,0.0,0.0,0.0,255.591,0.0,2145
101,1688.09,1663.36,0,24.7256,0.0,0.0,0.0,0.0,240.342,0.0,1923
102,1761.83,1689.45,0,72.3755,0.0,0.0,0.0,0.0,250.84,0.0,2060
103,1993.3,1961.4,0,31.9014,0.0,0.0,0.0,0.0,281.804,0.0,2435
104,3262.72,2906.11,0,71.6905,0.0,213.153,71.7688,0.0,460.537,0.0,4365
105,1740.75,1696.72,0,44.028,0.0,0.0,0.0,0.0,246.435,0.0,2269
106,1738.06,1717.3,0,20.7604,0.0,0.0,0.0,0.0,246.084,0.0,2464
107,1964.2,1943.32,0,20.8822,0.0,0.0,0.0,0.0,278.178,0.0,2520
108,1892.37,1860.96,0,31.4094,0.0,0.0,0.0,0.0,268.947,0.0,2104
109,1634.21,1611.16,0,23.043,0.0,0.0,0.0,0.0,231.427,0.0,2233
110,1900.0,1879.53,0,20.4672,0.0,0.0,0.0,0.0,269.181,0.0,2298
111,1994.68,1409.83,0,41.5827,0.0,105.97,136.518,300.778,282.344,0.0,2546
112,2095.25,2074.01,0,21.2379,0.0,0.0,0.0,0.0,296.633,0.0,2396
113,2052.76,1927.63,0,0.72422,0.0,106.085,18.3247,0.0,288.392,0.0,2979
114,2169.44,2046.53,0,5.68919,0.0,105.333,11.8975,0.0,307.679,0.0,2550
115,2035.1,1703.63,0,14.9634,0.0,105.888,7.13696,203.474,288.299,0.0,2440
116,1861.69,1767.74,0,93.9453,0.0,0.0,0.0,0.0,263.251,0.0,2329
117,2151.85,2130.14,0,21.7063,0.0,0.0,0.0,0.0,305.565,0.0,2364
118,2292.25,2059.56,0,232.682,0.0,0.0,0.0,0.0,323.823,0.0,2870
119,1860.74,1834.6,0,26.1395,0.0,0.0,0.0,0.0,263.69,0.0,2209
120,1996.59,1742.65,0,188.299,0.0,0.0,65.6405,0.0,284.12,0.0,2323
121,2218.71,2126.39,0,20.8925,0.0,66.4978,4.93694,0.0,313.724,0.0,2719
122,1531.05,1510.97,0,20.0767,0.0,0.0,0.0,0.0,216.404,0.0,2280
123,1551.79,1531.79,0,20.0069,0.0,0.0,0.0,0.0,221.145,0.0,1805
124,1566.27,1518.08,0,48.1901,0.0,0.0,0.0,0.0,222.891,0.0,1940
125,1824.49,1799.58,0,24.9067,0.0,0.0,0.0,0.0,259.089,0.0,2231
126,1617.05,1574.83,0,42.2169,0.0,0.0,0.0,0.0,229.859,0.0,1950
127,1699.07,1661.89,0,37.1829,0.0,0.0,0.0,0.0,239.394,0.0,2657
128,2036.81,2015.63,0,21.1761,0.0,0.0,0.0,0.0,288.301,0.0,2392
129,1589.48,1569.93,0,19.5484,0.0,0.0,0.0,0.0,225.83,0.0,1990
130,1995.1,1976.04,0,19.0603,0.0,0.0,0.0,0.0,282.729,0.0,2498
131,1826.94,1808.95,0,17.9915,0.0,0.0,0.0,0.0,260.114,0.0,1997
132,1944.67,1918.48,0,26.1844,0.0,0.0,0.0,0.0,275.532,0.0,2322
133,1438.26,1417.86,0,20.4005,0.0,0.0,0.0,0.0,204.005,0.0,1807
134,1615.21,1585.34,0,29.8643,0.0,0.0,0.0,0.0,228.057,0.0,2386
135,1786.5,1765.14,0,21.3627,0.0,0.0,0.0,0.0,253.662,0.0,2145
136,1601.2,1577.06,0,24.1341,0.0,0.0,0.0,0.0,226.59,0.0,2244
137,2071.77,2045.87,0,25.9,0.0,0.0,0.0,0.0,292.807,0.0,2609
138,2397.88,2370.3,0,27.5785,0.0,0.0,0.0,0.0,339.586,0.0,2797
139,1846.4,1784.22,0,62.1753,0.0,0.0,0.0,0.0,261.792,0.0,2204
140,1780.31,1757.76,0,22.5527,0.0,0.0,0.0,0.0,252.561,0.0,2184
141,1813.5,1623.39,0,94.4097,0.0,0.0,95.7009,0.0,256.377,0.0,2504
142,1637.56,1616.12,0,21.4427,0.0,0.0,0.0,0.0,232.605,0.0,2102
143,1769.9,1741.63,0,28.2749,0.0,0.0,0.0,0.0,251.079,0.0,2130
144,1683.56,1657.17,0,26.3925,0.0,0.0,0.0,0.0,238.067,0.0,2399
145,1631.68,1609.25,0,22.4327,0.0,0.0,0.0,0.0,231.045,0.0,2010
146,1720.77,1688.11,0,32.6563,0.0,0.0,0.0,0.0,244.43,0.0,2170
147,1545.87,1519.06,0,26.8133,0.0,0.0,0.0,0.0,219.744,0.0,1862
148,1939.16,1918.06,0,21.1053,0.0,0.0,0.0,0.0,272.978,0.0,2874
149,2557.13,2002.32,0,28.0134,0.0,106.649,178.944,241.198,358.479,0.0,4001
150,3039.65,2445.33,0,57.1171,0.0,178.516,289.511,69.1717,429.802,0.0,3599
151,1593.16,1573.34,0,19.821,0.0,0.0,0.0,0.0,226.192,0.0,1930
152,2053.94,1724.89,0,109.748,0.0,106.392,112.917,0.0,291.225,0.0,2529
153,2085.16,1712.55,0,68.1448,0.0,98.5505,68.3034,137.611,292.784,0.0,3189
154,1519.13,1495.01,0,24.1176,0.0,0.0,0.0,0.0,216.925,0.0,1793
155,1831.42,1810.85,0,20.5705,0.0,0.0,0.0,0.0,260.635,0.0,2126
156,1583.88,1524.33,0,59.546,0.0,0.0,0.0,0.0,224.35,0.0,2142
157,1819.39,1784.54,0,34.8494,0.0,0.0,0.0,0.0,258.443,0.0,2187
158,2042.5,2007.52,0,34.9843,0.0,0.0,0.0,0.0,288.951,0.0,2536
159,1864.54,1829.24,0,35.3036,0.0,0.0,0.0,0.0,259.968,0.0,3300
160,1773.56,1727.21,0,46.3562,0.0,0.0,0.0,0.0,252.697,0.0,2164
161,1824.53,1804.25,0,20.2783,0.0,0.0,0.0,0.0,257.471,0.0,2617
162,1815.31,1796.16,0,19.1538,0.0,0.0,0.0,0.0,257.069,0.0,2198
163,2367.94,1919.43,0,22.7016,0.0,90.3535,3.65011,331.811,335.256,0.0,2835
164,1562.81,1540.37,0,22.4421,0.0,0.0,0.0,0.0,222.007,0.0,1907
165,1781.0,1756.41,0,24.5875,0.0,0.0,0.0,0.0,253.323,0.0,2095
166,2069.24,1947.95,0,12.8643,0.0,105.83,2.59196,0.0,293.336,0.0,2304
167,2033.6,2010.84,0,22.7666,0.0,0.0,0.0,0.0,287.022,0.0,2806
168,1770.87,1713.65,0,57.221,0.0,0.0,0.0,0.0,247.968,0.0,3090
169,2179.98,1768.53,0,146.509,0.0,67.0895,58.1537,139.7,309.418,0.0,2555
170,1564.01,1543.34,0,20.666,0.0,0.0,0.0,0.0,222.987,0.0,1780
171,1703.21,1674.76,0,28.448,0.0,0.0,0.0,0.0,239.326,0.0,2811
172,1852.1,1834.2,0,17.8969,0.0,0.0,0.0,0.0,262.829,0.0,2301
173,1594.55,1566.83,0,27.7205,0.0,0.0,0.0,0.0,227.005,0.0,1960
174,1762.99,1736.58,0,26.4068,0.0,0.0,0.0,0.0,250.15,0.0,2231
175,1564.53,1543.45,0,21.0803,0.0,0.0,0.0,0.0,222.766,0.0,1917
176,1742.49,1677.84,0,64.6445,0.0,0.0,0.0,0.0,247.341,0.0,2128
177,1745.86,1726.36,0,19.4926,0.0,0.0,0.0,0.0,246.025,0.0,2602
178,1801.78,1783.94,0,17.8344,0.0,0.0,0.0,0.0,253.867,0.0,2647
179,1841.12,1818.68,0,22.4399,0.0,0.0,0.0,0.0,260.083,0.0,2416
180,1689.89,1673.17,0,16.7142,0.0,0.0,0.0,0.0,240.381,0.0,1938
181,2172.2,1923.86,0,57.7987,0.0,106.198,84.3425,0.0,306.728,0.0,2971
182,1695.44,1652.92,0,42.5191,0.0,0.0,0.0,0.0,240.008,0.0,2240
183,1740.77,1722.25,0,18.5177,0.0,0.0,0.0,0.0,247.461,0.0,2046
184,1912.03,1893.18,0,18.8543,0.0,0.0,0.0,0.0,271.138,0.0,2316
185,3110.91,2302.45,0,82.8126,0.0,206.337,71.6385,447.674,438.496,0.0,4068
186,1830.08,1808.51,0,21.5731,0.0,0.0,0.0,0.0,258.997,0.0,2442
187,2018.41,1889.86,0,1.92004,0.0,106.664,19.9573,0.0,285.678,0.0,2736
188,1593.52,1573.35,0,20.1698,0.0,0.0,0.0,0.0,226.753,0.0,1972
189,1604.26,1588.85,0,15.4062,0.0,0.0,0.0,0.0,228.69,0.0,2006
