Event,Px,Py,Pz,Tot-OpAbs,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons,NOfScintPhotons
1604,-0.00032544,0.000414334,-1.0,2126.3,1752.71,0,373.597,0.0,0.0,0.0,0.0,72.1801,0.0,2775,21725
1605,0.000852466,-0.00106419,-0.999999,2511.18,1786.47,0,320.111,0.0,148.527,256.071,0.0,84.7993,0.0,3142,25641
1606,-7.35175e-05,0.000303416,-1.0,1990.45,1723.14,0,267.315,0.0,0.0,0.0,0.0,66.13,0.0,2924,20335
1607,0.000206806,0.000533396,-1.0,2330.46,2027.12,0,303.341,0.0,0.0,0.0,0.0,78.9378,0.0,2949,23746
1608,-0.000791149,0.000183349,-1.0,2088.06,1785.11,0,302.956,0.0,0.0,0.0,0.0,70.2992,0.0,2779,21326
1609,-0.000212015,0.00083859,-1.0,2352.49,2040.07,0,312.422,0.0,0.0,0.0,0.0,78.8338,0.0,3072,23986
1610,0.000234394,-0.0004381,-1.0,2016.59,1758.15,0,258.446,0.0,0.0,0.0,0.0,68.3944,0.0,2514,20612
1611,-0.000337545,-0.00108294,-0.999999,2306.44,2069.66,0,236.776,0.0,0.0,0.0,0.0,78.0569,0.0,2937,23512
1612,0.000105417,7.93203e-05,-1.0,2015.94,1723.61,0,292.33,0.0,0.0,0.0,0.0,67.8895,0.0,2634,20586
1613,-0.000865326,0.000382544,-1.0,2651.72,2140.69,0,511.023,0.0,0.0,0.0,0.0,89.9798,0.0,3283,26953
1614,-2.69714e-05,-1.0508e-06,-1.0,2298.57,1503.49,0,395.164,0.0,149.003,250.906,0.0,78.4123,0.0,2874,23479
1615,-0.000460279,1.85184e-05,-1.0,2278.79,1883.92,0,394.871,0.0,0.0,0.0,0.0,76.8012,0.0,2884,23208
1616,-0.000482271,0.000818582,-1.0,2271.58,1845.22,0,426.358,0.0,0.0,0.0,0.0,76.3193,0.0,3040,23188
1617,0.001064,0.000277829,-0.999999,2354.97,2087.88,0,267.089,0.0,0.0,0.0,0.0,80.0266,0.0,2911,23997
1618,0.000148996,0.000769481,-1.0,1941.38,1711.87,0,229.512,0.0,0.0,0.0,0.0,66.1601,0.0,2392,19857
1619,0.000124823,-0.000729045,-1.0,2137.8,1831.1,0,306.708,0.0,0.0,0.0,0.0,72.5024,0.0,2725,21825
1620,0.000344004,0.000673997,-1.0,2106.95,1837.31,0,269.646,0.0,0.0,0.0,0.0,71.6438,0.0,2624,21497
1621,-5.30728e-05,-0.00111291,-0.999999,1812.57,1579.05,0,233.519,0.0,0.0,0.0,0.0,61.2786,0.0,2405,18562
1622,0.000160888,0.000978795,-1.0,2095.59,1851.71,0,243.88,0.0,0.0,0.0,0.0,71.0612,0.0,2666,21366
